iteration,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,d1,d2,d3,d4,d5,d6,d7,d8,s11_1,s11_2,s11_3,s11_4,s11_5,s11_6,s11_7,s11_8,s11_9,s11_10,mises_1,mises_2,mises_3,mises_4,mises_5,mises_6,mises_7,mises_8,mises_9,mises_10
0,0.00308588277741,0.0191442077558,0.0172602044194,0.00580415445965,0.0112171981613,0.010182538779,0.0147338737457,0.0178220498676,0.00217371789416,0.000698385171276,10.5791368484,-70.774597168,-24.3559417725,-71.5503921509,6.57574272156,-16.113702774,-8.0603761673,-16.8913421631,-122876112.0,5863760.0,30187446.0,5849860.5,-60778972.0,49584148.0,-132877080.0,33294788.0,-35960320.0,92389552.0,122876112.0,5863760.0,30187446.0,5849860.5,60778972.0,49584148.0,132877080.0,33294788.0,35960320.0,92389552.0
1,0.0188814301403,0.00980591436922,0.017226547457,0.000107428321467,0.0100901196101,0.0163090815283,0.00521172522301,0.0213474960639,0.0203601463454,0.000748886417916,9.36634063721,-245.959854126,-17.6197128296,-251.032943726,6.85221290588,-21.1842670441,-17.2065792084,-26.0581531525,-3115212.0,36751352.0,18957688.0,38253380.0,-129745584.0,51668864.0,-728894336.0,33372482.0,-54035168.0,774317952.0,3115212.0,36751352.0,18957688.0,38253380.0,129745584.0,51668864.0,728894336.0,33372482.0,54035168.0,774317952.0
2,0.000633040789573,0.0122526088873,0.0212096391458,0.00864471943274,0.00493781842338,0.00956606528212,0.000713998536186,0.00505249632447,0.00992122860901,0.0112256916759,41.2073554993,-185.375213623,-96.529586792,-193.678512573,37.0747909546,-54.1886253357,-68.1139373779,-65.723526001,-214267184.0,86978520.0,31161468.0,62610644.0,-513610688.0,279561120.0,-38947984.0,-9012399.0,-64523128.0,22189706.0,214267184.0,86978520.0,31161468.0,62610644.0,513610688.0,279561120.0,38947984.0,9012399.0,64523128.0,22189706.0
3,0.0053090618198,0.0052591145155,0.00498694896084,0.0104102700484,0.00658588196058,0.000543948162588,0.0189222560119,0.0125913513461,0.0145244690532,0.00424660910795,9.5518579483,-69.8960494995,-15.1715927124,-72.0827941895,8.56031894684,-36.2368659973,-6.77334451675,-43.9787483215,-63326688.0,58377396.0,7476665.0,16489037.0,-51074160.0,64548776.0,-36164440.0,140273008.0,-104346992.0,45672644.0,63326688.0,58377396.0,7476665.0,16489037.0,51074160.0,64548776.0,36164440.0,140273008.0,104346992.0,45672644.0
4,0.0224120776422,0.0194259958285,0.00278244189483,0.00755229557431,0.0163078288588,0.0160760386535,0.0211486420147,0.00956584963913,0.0187524038125,0.0151552813556,9.62206172943,-46.4393310547,-8.71774101257,-48.5901374817,7.75164031982,-23.1648540497,-7.65074920654,-22.620508194,-8045611.0,-4104622.75,14103846.0,16218065.0,-57690196.0,58450960.0,-24679984.0,56439460.0,-58111388.0,33765824.0,8045611.0,4104622.75,14103846.0,16218065.0,57690196.0,58450960.0,24679984.0,56439460.0,58111388.0,33765824.0
5,0.00689185886621,0.0132923152504,0.0199334270987,0.019116365863,0.0114389916395,0.0133243308498,0.000837521695008,0.00552650420419,0.0180175436549,0.00939035126425,34.4701499939,-156.6275177,-66.1502914429,-157.939468384,33.6372146606,-51.6446266174,-59.7687034607,-57.8683433533,-48120104.0,46929704.0,6280726.5,9892734.0,-450683744.0,253640176.0,-17042670.0,-7164796.0,-67892128.0,24534200.0,48120104.0,46929704.0,6280726.5,9892734.0,450683744.0,253640176.0,17042670.0,7164796.0,67892128.0,24534200.0
6,0.00395612668356,0.0124189481065,0.0158924779617,0.0152494209029,0.0084983120217,0.0099454159086,0.0115097645154,0.0175905276898,0.0117915331646,0.00891610473859,9.08464336395,-48.0551185608,-18.5923099518,-50.8587379456,7.06403255463,-18.6805515289,-9.70423412323,-21.7079811096,-67020208.0,22828228.0,15236343.0,21140596.0,-73174424.0,53266080.0,-28496392.0,45256908.0,-43796972.0,24588870.0,67020208.0,22828228.0,15236343.0,21140596.0,73174424.0,53266080.0,28496392.0,45256908.0,43796972.0,24588870.0
7,0.0110878980808,0.000726028188535,0.00103933377883,0.0159001646354,0.0222013873938,0.0134184976082,0.00892386493723,0.00389626391319,0.0113704123359,0.0221763658774,34.3373603821,-264.447845459,-15.4565086365,-265.589141846,32.1089439392,-212.037719727,-12.4216270447,-214.457214355,-22884416.0,18244072.0,16803268.0,8605758.0,-93664824.0,242116336.0,-12184100.0,761720960.0,-678373184.0,22568440.0,22884416.0,18244072.0,16803268.0,8605758.0,93664824.0,242116336.0,12184100.0,761720960.0,678373184.0,22568440.0
8,0.017412181109,0.0122121849391,0.0194337258213,0.00528860640398,0.011630137855,0.0215095655838,0.0130719390717,0.0103996466026,0.00612417383198,0.0124008768892,16.6513576508,-54.6397094727,-10.4529037476,-57.3233108521,11.5550699234,-20.4593086243,-8.85759162903,-22.0121879578,-12029390.0,11709428.0,38428368.0,20235584.0,-66790348.0,87130584.0,-26838668.0,49595880.0,-33571044.0,56010664.0,12029390.0,11709428.0,38428368.0,20235584.0,66790348.0,87130584.0,26838668.0,49595880.0,33571044.0,56010664.0
9,0.0216142586585,0.000188569595223,0.0177079158385,0.0185373427366,0.0200167641602,0.0167361368345,0.0182818305676,0.0117406349449,0.0127017791148,0.00965556210658,15.8445119858,-60.2686729431,-5.51290369034,-60.8812675476,14.8791217804,-33.3597412109,-3.35108399391,-37.4810829163,-16301123.0,31076822.0,7279490.5,4619251.5,-25268728.0,112195472.0,-13542654.0,128678008.0,-69676224.0,26879874.0,16301123.0,31076822.0,7279490.5,4619251.5,25268728.0,112195472.0,13542654.0,128678008.0,69676224.0,26879874.0
